"date","timestamp","close"
"2022-01-03","1641164400","87.05"
"2022-01-04","1641250800","87.046"
"2022-01-05","1641337200","85.604"
"2022-01-06","1641423600","85.376"
"2022-01-07","1641510000","84.87"
"2022-01-10","1641769200","84.504"
"2022-01-11","1641855600","85.21"
"2022-01-12","1641942000","85.18"
"2022-01-13","1642028400","83.812"
"2022-01-14","1642114800","84.05"
"2022-01-17","1642374000","84.384"
"2022-01-18","1642460400","83.458"
"2022-01-19","1642546800","82.486"
"2022-01-20","1642633200","82.186"
"2022-01-21","1642719600","80.472"
"2022-01-24","1642978800","80.59"
"2022-01-25","1643065200","80.03"
"2022-01-26","1643151600","80.32"
"2022-01-27","1643238000","80.406"
"2022-01-28","1643324400","81.502"
"2022-01-31","1643583600","82.538"
